title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Bears,Original,0,2014-04-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Captain America: The Winter Soldier,Sequel,1,2014-04-04T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
The Pirate Fairy,Sequel,0,2014-04-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Muppets Most Wanted,Sequel,0,2014-03-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Saving Mr. Banks,Original,0,2013-12-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Frozen,Original,0,2013-11-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Thor: The Dark World,Sequel,1,2013-11-08T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Super Buddies,Sequel,0,2013-08-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Planes,Spin-off,0,2013-08-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lone Ranger,Remaster,0,2013-07-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Monsters University,Sequel,0,2013-06-21T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Monsters University,Prequel,0,2013-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Iron Man 3,Sequel,1,2013-05-03T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Wings of Life,Original,0,2013-04-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Oz the Great and Powerful,Prequel,1,2013-03-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Wreck-It Ralph,Original,0,2012-11-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Secret of the Wings,Sequel,0,2012-10-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Frankenweenie,Original,0,2012-10-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beverly Hills Chihuahua 3: Viva la Fiesta!,Sequel,0,2012-09-18T00:00:00Z,Walt Disney Pictures,Beverly Hills Chihuahua got THREE movies?!?!,NA,NA,NA,NA,NA,NA
The Odd Life of Timothy Green,Original,0,2012-08-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Brave,Original,0,2012-06-22T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Brave,Original,0,2012-06-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
